Rainfall,Max temp,Altitude,Water logging
29.33 ± 1.03,31.98 ± 0.19,198.17 ± 16.51,1 ± 0
26.86 ± 2.19,32.4 ± 0.12,164.29 ± 17.55,1.29 ± 0.76
28.84 ± 1.95,32.05 ± 0.35,193.65 ± 32.94,1.06 ± 0.36
29.25 ± 0.96,32.05 ± 0.34,190.5 ± 30.51,3 ± 0
30 ± 0,32.2 ± 0.14,172 ± 15.56,1 ± 0
,,,
29.4 ± 1.26,32.14 ± 0.16,182.8 ± 12.41,1.1 ± 0.32
27.5 ± 2.43,32.23 ± 0.15,182 ± 16,1 ± 0
28.75 ± 2.06,32.12 ± 0.17,187.5 ± 15.29,1 ± 0
29.75 ± 1.49,31.97 ± 0.17,199.25 ± 15.29,1.25 ± 0.71
26.5 ± 0.71,32.45 ± 0.07,161 ± 2.83,2 ± 1.41
,,,
30 ± 2,31.87 ± 0.4,215 ± 42.33,1 ± 0
28.33 ± 2.42,32.28 ± 0.24,174.17 ± 22.51,1.67 ± 1.03
30 ± 1.41,31.88 ± 0.29,210.6 ± 32.26,1 ± 0
28.42 ± 1.88,32.32 ± 0.2,167.42 ± 16.49,1.17 ± 0.58
